name,price,barcode,unit,sku
Silent Fridge Cooker Max Plus,565.00,1162443438266,,43
Smart Trimmer Cooler Ultra Rechargeable,162.00,0254732240832,,24
Digital Cooker Cooler,46.00,2268779472000,,54
Clean Kettle Brush Fan Portable Smart Digital,192.00,3649741766249,,74
Ultra Camera Router Fan,725.00,7326817653097,,93
Scanner Mouse,143.00,2578124792531,,94
Pro Webcam Webcam Stove One Sense,640.00,0835679728043,,89
Portable Webcam Webcam Treadmill Wireless Clean,532.00,4529970004130,,96
Digital Projector Fast X Ultra,608.00,9420267477192,,50
Premium Printer Webcam Pro,507.00,2417425878004,,10
Wireless Powerbank 360 Automatic,445.00,5841942570221,,45
Rechargeable Camera Monitor Charger X,256.00,1235639047082,,53
Portable Watch Fridge,95.00,6514629498239,,99
Clean Bicycle Clock Lamp,468.00,6663939022273,,77
Pro Radio,977.00,4481641323127,,40
Compact Camera Drone Fan Prime,30.00,1378824372269,,19
Pro Headphones Advanced,6.00,8354821433786,,32
Silent Charger Plus,476.00,7560616902769,,97
Smart Phone Iron Speakerphone Edge,347.00,7829663201905,,78
Smart Powerbank Eco,153.00,5358048910719,,19
Compact Scale Trimmer Grill Mini,488.00,8500213043860,,99
Stove Iron,104.00,5868014735029,,28
Smart Lamp Speakerphone Headphones,207.00,6601726863005,,43
Digital Thermostat Camera Watch,781.00,8701811129035,,37
Digital Powerbank Scooter Ultra One One,273.00,6716902477935,,90
Rechargeable Kettle Max Compact,130.00,9640239049589,,74
Automatic Brush Compact,484.00,9151810011210,,6
Smart Kettle Brush Fan,311.00,2274465923169,,54
Dock Freezer Projector,803.00,0081727489170,,7
Clean Radio Edge Edge,527.00,3070270883198,,22
Mouse Powerbank Printer,934.00,2990513887411,,96
Powerbank,352.00,7805247547324,,74
Eco Watch,768.00,9318920270191,,25
Compact Watch Go,561.00,6121781734275,,56
Ultra Speakerphone Stove Tablet Pro Max,237.00,6671938743082,,67
Compact Iron Monitor Lite,11.00,0911040072905,,30
Digital Thermostat Iron Mini,672.00,5290439640969,,72
Wireless Watch Camera Eco Sense,776.00,2430728736994,,62
Digital Scanner Keyboard Monitor Mini Touch Prime,421.00,9793631916123,,21
Clean Speakerphone Charger X Premium Silent,656.00,1983941893629,,44
Mini Lock Edge,722.00,2441289746896,,57
Premium Bicycle Scooter Touch Go Fast,567.00,4606134814962,,66
Eco Speaker Keyboard X Lite Edge,413.00,2617526410565,,47
Watch Tablet Printer,706.00,4654537127417,,1
Premium Light Drone Rechargeable,351.00,6056419607495,,21
Silent Shaver Go Premium,331.00,1056587070652,,97
Advanced Fan Automatic,798.00,3812144279597,,60
Eco Speaker Powerbank Camera,116.00,3447182026324,,63
Clean Kettle Brush Fan Mini Smart,860.00,3236290501935,,5
Smart Blender Scale Silent,810.00,4135451441051,,40
Eco Radio Portable Compact Lite,651.00,1976199426978,,28
Eco Projector Speaker Treadmill Premium Max,698.00,9177994066495,,96
Eco Heater Toaster Stove,357.00,3288305363618,,48
Rechargeable Freezer Pro,707.00,5608848275694,,98
Smart Clock Lock Air,66.00,9454881527377,,95
Automatic Tablet Eco Prime Lite,659.00,7503257171132,,87
Automatic Watch Grill Edge,789.00,2309253022790,,92
Tablet,946.00,6991336653265,,60
Silent Projector Brush Max Wireless,335.00,9529755512497,,72
Clean Fan Rechargeable Portable Air,619.00,7067684105271,,24
Automatic Keyboard One Fast Smart,168.00,9124270422537,,8
Smart Toaster Light Monitor Touch,905.00,8985671593186,,51
Wireless Router,220.00,7566263565692,,39
Mini Scale Lite,864.00,6647196199923,,57
Wireless Cooker Lite Lite,591.00,0915407396413,,12
Compact Heater Keyboard Eco,58.00,0329482752444,,65
Compact Oven Drone 360 One Sense,918.00,2425286948118,,59
Fast Scooter Scale Cooler,718.00,7612868584689,,9
Cooler,989.00,8535482593259,,17
Ultra Phone Speaker Blender X Silent,144.00,1848508897512,,78
Clock Drone Charger,282.00,5016246416777,,81
Mouse Powerbank Printer,483.00,7952035179783,,18
Ultra Clock Touch Clean Prime,314.00,1222395940184,,33
Ultra Stove Light Eco Premium Plus,418.00,6782899202195,,78
Premium Brush,414.00,2790571479173,,34
Smart Mouse Powerbank Printer 360,490.00,2427338257216,,69
Charger Radio,415.00,0402504828157,,30
Wireless Grill Grill One Clean Mini,907.00,4729829622755,,4
Fast Thermostat Speaker 360 Digital,282.00,3439273052800,,30
Grill Brush Watch,307.00,3372728162917,,67
Ultra Monitor Light Advanced Lite,422.00,7510325268120,,19
Wireless Webcam Toaster Silent Prime,778.00,8299729546797,,72
Fast Thermostat Iron Touch,545.00,7490748910588,,35
Pro Scanner Monitor Treadmill Lite Ultra,570.00,0063202807150,,67
Portable Brush Silent 360,776.00,3778306306092,,91
Clean Router Lamp,962.00,1492116804778,,18
Smart Bicycle Ultra One,886.00,2651420529343,,39
Compact Drone,848.00,3739044445238,,66
Compact Scooter Microphone Eco Sense Premium,7.00,8312592926005,,99
Tablet Powerbank Blender,95.00,3336531319975,,26
Smart Treadmill Dock Eco X Sense,471.00,2585596758743,,72
Mini Powerbank Projector Wireless Air Plus,382.00,1957486782144,,34
Pro Watch Compact,597.00,1452805605246,,62
Lamp Grill,52.00,8811414128554,,67
Automatic Lock Blender Compact,464.00,3261280900313,,95
Eco Mixer Vacuum Max Advanced Max,616.00,7739019473651,,72
Silent Powerbank Iron Brush Smart Silent,390.00,1533527717742,,87
Wireless Freezer Advanced,982.00,9213311077352,,50
Mini Mixer Treadmill Smart,604.00,5128220131412,,70
Pro Thermostat Iron X Ultra,713.00,6666211525905,,45
Cooler Vacuum,21.00,1958858588777,,37
Brush Scanner,343.00,7305265947415,,1
Advanced Webcam Webcam Treadmill Fast Edge,902.00,3731215047739,,12
Drone Thermostat Headphones,739.00,9648951705837,,43
Eco Fan Iron Clock Premium,848.00,7966580723629,,23
Iron Heater,609.00,4269496861076,,80
Smart Microphone Lamp Speaker Ultra,757.00,2578937487174,,9
Ultra Toaster Light Monitor Compact,615.00,2143216208704,,64
Premium Scale Automatic Prime,926.00,2294097501689,,56
Portable Headphones,697.00,3645712254852,,9
Iron,292.00,9967005161864,,31
Eco Fridge Fan Lamp Compact,65.00,6195796484234,,61
Compact Watch,365.00,5607506362424,,19
Ultra Cooler,839.00,8246194293626,,81
Eco Fan Thermostat Air,220.00,8030295075324,,77
Digital Freezer,553.00,7462147333299,,44
Advanced Blender Max,47.00,2976970700661,,79
Treadmill,165.00,8559466491805,,67
Headphones,65.00,6619001886397,,23
Eco Drone Rechargeable Max Silent,186.00,1134510287152,,19
Advanced Lock Wireless,562.00,5320572840220,,21
Clock Lock,40.00,0908523783298,,48
Ultra Fan Go Fast Compact,729.00,5510630611613,,9
Clean Brush,707.00,0345820426655,,83
Portable Iron Thermostat Silent Smart Ultra,279.00,0734427063330,,83
Premium Lock Bicycle Clean,553.00,4892761666023,,60
Fast Oven Speaker Fan Advanced,835.00,3326612635858,,93
Portable Radio Silent Advanced Sense,4.00,1639829731469,,41
Portable Oven Mouse Cooler Prime,971.00,2656026356256,,49
Digital Fan Clock Camera Sense,911.00,3977287490145,,18
Scooter,13.00,7279022521579,,42
Mini Webcam Webcam Treadmill Edge,26.00,2863644860007,,36
Clean Watch Fridge Plus,944.00,9819009860741,,47
Smart Fan One Smart Compact,748.00,1590063192303,,73
Silent Mouse Radio Light Fast Ultra,310.00,2979457434714,,75
Fast Blender Blender,829.00,5994904926656,,31
Wireless Stove Vacuum Speaker,199.00,4630403520520,,89
Fast Microphone Rechargeable Edge X,74.00,8758855619022,,64
Wireless Mouse Radio Light Ultra Air 360,714.00,4703644509880,,51
Pro Shaver,434.00,6365997588325,,32
Scanner Shaver Powerbank,285.00,8196128578650,,87
Pro Toaster Oven Fast Silent,145.00,4656451748945,,20
Smart Scooter Advanced Sense,594.00,4604954136738,,36
Ultra Camera Smart Plus,830.00,4619409669426,,81
Premium Vacuum Printer Fast,186.00,3062003046666,,34
Projector Oven Thermostat,576.00,4633833741237,,93
Powerbank Projector,735.00,5586302390315,,60
Automatic Cooler Fan Sense,690.00,1378866611098,,48
Ultra Heater Keyboard Silent Edge Silent,408.00,3390982809997,,92
Fan Iron Cooker,115.00,4885893040533,,21
Freezer Mixer,504.00,8989294557273,,48
Premium Scanner Keyboard Monitor One Go Edge,344.00,9594311519609,,65
Compact Printer Charger Brush Silent Silent Clean,333.00,5895664018936,,83
Silent Scanner Rechargeable X Plus,669.00,6772555773268,,6
Ultra Scooter Max,157.00,5602811347449,,21
Portable Vacuum Webcam 360 Smart,600.00,8455915808616,,32
Eco Clock Lock Prime Max,755.00,7755317922448,,84
Speaker Keyboard,213.00,2807998891539,,53
Brush,881.00,2676908892597,,11
Premium Speaker Plus Ultra,590.00,8466949874065,,86
Ultra Keyboard Speakerphone Fan Mini Edge Automatic,640.00,0693277486143,,86
Advanced Lamp Go One,475.00,8425592208702,,55
Automatic Radio Touch Wireless Mini,17.00,9454437621610,,23
Advanced Drone,74.00,4362063722487,,48
Automatic Tablet Microphone Trimmer Clean Ultra,141.00,5977459824806,,94
Smart Scale One 360,954.00,3825618122985,,14
Microphone Cooler,208.00,6422181253626,,10
Pro Router Phone,43.00,0381163570747,,78
Microphone,567.00,6212467932723,,46
Silent Mixer Freezer Trimmer,343.00,5957199756933,,5
Smart Mouse Portable Max Smart,243.00,9544708745395,,80
Smart Headphones Stove Automatic Portable Premium,802.00,1488768053824,,79
Smart Scooter Sense Silent Sense,20.00,7724011420321,,52
Ultra Monitor Cooler Dock Portable Edge Fast,14.00,2017980408892,,89
Smart Mixer Freezer Trimmer,49.00,9416517582877,,86
Vacuum Webcam,569.00,6976094266483,,9
Silent Mouse Lamp Portable,42.00,6967368381278,,90
Compact Lock Charger Compact Fast Prime,543.00,8875386137976,,17
Microphone,635.00,2885203054924,,87
Oven Drone,752.00,0562602134793,,48
Automatic Microphone Treadmill Oven,527.00,9701330117307,,58
Digital Lock,458.00,1728299431181,,7
Advanced Powerbank Cooker Iron Rechargeable,301.00,9128554241289,,60
Premium Tablet Powerbank Blender Edge Sense Eco,835.00,2559383466982,,2
Mini Blender Smart,314.00,0465724533898,,42
Ultra Thermostat Camera Watch,293.00,6630772547720,,16
Wireless Mouse Powerbank Printer,131.00,3286568539122,,38
Mini Freezer,591.00,0478567520444,,56
Clean Oven Mouse Cooler 360 Prime,386.00,0305861275827,,24
Compact Cooker Clean,77.00,0344357502795,,10
Digital Toaster,3.00,8808107091660,,53
Digital Grill Grill Scale Mini Pro X,130.00,4742913626989,,64
Smart Radio,80.00,8056577733010,,2
Rechargeable Vacuum,318.00,5647540514557,,63
Automatic Stove Light Premium,50.00,5824526447973,,73
Premium Router Freezer Webcam,426.00,9526408211950,,26
Speakerphone Oven,904.00,6052323333857,,8
Digital Speakerphone X,464.00,8910689563494,,90
Silent Watch Thermostat One Air Smart,135.00,8773470726405,,22
Silent Iron Wireless Sense,183.00,0838180239602,,32
Mouse Radio Light,378.00,5301801753603,,46
Rechargeable Brush Smart Max,319.00,1075704856627,,57
Smart Router Automatic,43.00,4138684641120,,5
Automatic Iron Cooler Iron Eco,320.00,9693755300429,,3
Advanced Camera Heater Webcam Smart Rechargeable Touch,117.00,2264195461772,,8
Shaver Grill,500.00,1085872727698,,45
Brush,300.00,7531953684281,,10
Eco Heater Ultra Go,824.00,8211812679465,,5
Mini Treadmill Pro,564.00,2576053837880,,69
Charger Tablet Brush,539.00,4856159206222,,33
Advanced Mixer Treadmill,555.00,9987927704017,,39
Fast Lamp Lamp Kettle Smart Smart Mini,338.00,7872645366628,,97
Eco Iron Touch Wireless Touch,827.00,8351224011641,,62
Portable Drone Clean,130.00,4757066252770,,21
Smart Freezer Portable Wireless,638.00,6882500117365,,35
Automatic Vacuum Webcam Advanced Compact Sense,373.00,6758926911583,,83
Digital Brush,98.00,7398600282074,,97
Wireless Brush Fridge Drone Clean,85.00,4359798686221,,95
Mini Grill Microphone Projector Automatic Plus,137.00,0201034824581,,9
Portable Camera Heater Webcam Clean Air Compact,882.00,5829079826640,,35
Ultra Shaver Fast Ultra,612.00,7120371925498,,17
Automatic Clock Brush,276.00,7068886577644,,39
Rechargeable Shaver Go Air Smart,30.00,8153311839448,,81
Pro Mouse Charger Wireless,894.00,0630492806134,,34
Compact Grill Brush Watch Silent Eco Prime,949.00,3526502424924,,69
Pro Projector Eco Sense Digital,641.00,0012103724127,,13
Advanced Fan Thermostat,26.00,7762973824368,,93
Eco Headphones Wireless Advanced,330.00,7995905704968,,44
Smart Freezer Digital Max Advanced,110.00,2105258315666,,56
Advanced Projector Freezer Eco Digital,708.00,0067571351290,,48
Microphone Treadmill Oven,897.00,2665529832044,,8
Clean Fridge,987.00,8814174722376,,1
Rechargeable Brush Scanner Portable Rechargeable,749.00,3901494928214,,29
Premium Monitor Brush Monitor,6.00,7366241263394,,5
Rechargeable Watch Fridge,509.00,4421318514953,,65
Smart Drone Portable Advanced,287.00,8052056078214,,17
Smart Clock Premium,488.00,1335318638188,,12
Rechargeable Powerbank Scooter,681.00,5439763735808,,20
Digital Tablet Prime,124.00,2648221694929,,83
Mini Webcam Webcam Stove Mini Prime,60.00,3102892436602,,4
Compact Grill Charger Headphones Premium Fast,447.00,4347840868589,,25
Portable Scooter Eco Wireless,210.00,2045307526516,,39
Monitor Light,729.00,2223254119016,,74
Rechargeable Light Headphones Tablet Eco Compact,408.00,0142657075403,,59
Advanced Light Headphones Tablet Edge 360,563.00,3118986320887,,55
Rechargeable Cooker Brush Wireless Ultra,195.00,7699167240089,,91
Automatic Treadmill,810.00,4962540108287,,20
Fast Webcam Mouse Lite Premium Portable,197.00,4723707558822,,88
Automatic Lock Freezer Automatic,159.00,2395196363380,,82
Kettle Brush Fan,363.00,4756102769258,,5
Wireless Lock Clean Sense X,872.00,1448297566950,,93
Digital Mouse One Wireless,235.00,8545915318458,,4
Compact Vacuum Fan,521.00,6775221680884,,12
Fast Iron Toaster Projector,920.00,6502527158072,,58
Watch,913.00,2638922421610,,81
Iron Monitor,209.00,5436774171601,,1
Ultra Powerbank,793.00,4143571789465,,44
Mini Tablet Mini,860.00,2903238888984,,11
Vacuum,614.00,2447254588188,,7
Portable Treadmill Pro,510.00,1880995842958,,44
Eco Charger Monitor Brush Rechargeable,389.00,4336871632511,,68
Premium Scale Silent X,716.00,0578367665038,,51
Drone,764.00,3057823296186,,85
Clean Powerbank,976.00,6260434567850,,78
Scooter Scale Cooler,980.00,7008507356449,,29
Portable Light Heater Clock Silent Sense Digital,425.00,6152531758838,,12
Wireless Scanner Fast Rechargeable,619.00,0209228301276,,93
Pro Printer Fan Shaver,461.00,6931894702494,,40
Premium Headphones Rechargeable Portable,217.00,7091338189843,,61
Smart Router Phone Automatic Clean Fast,221.00,6147509600967,,12
Automatic Freezer Mixer,543.00,7630565082109,,61
Clean Blender Edge,960.00,2195825979872,,57
Scanner,309.00,9902949454368,,84
Mini Brush Premium Portable Go,505.00,1725306495365,,40
Microphone Lamp Speaker,900.00,4594724382741,,1
Rechargeable Freezer Mini Pro,753.00,4931467235628,,32
Fast Mouse Speaker Cooler Pro Premium Advanced,620.00,7045704727634,,58
Eco Tablet,222.00,7052622146102,,14
Advanced Powerbank Projector Smart,579.00,9895661817293,,34
Scale Trimmer Grill,63.00,0754857626905,,20
Mini Webcam Powerbank 360 360,295.00,1111627244575,,33
Clean Microphone Eco,218.00,6502363133172,,98
Mini Iron Microphone Mini Clean X,906.00,6037907030780,,73
Dock,891.00,6194124985900,,56
Smart Scooter Dock Shaver,911.00,9394660329825,,93
Compact Kettle Vacuum Touch Ultra Eco,710.00,2916534546113,,58
Mouse Speaker Cooler,818.00,2064860950354,,24
Pro Lamp Speakerphone Headphones 360 Touch Go,604.00,8384198495490,,16
Pro Lamp Scanner Vacuum Compact Fast Edge,527.00,5765069673163,,15
Rechargeable Keyboard Phone Scanner Smart,429.00,7805391695957,,62
Rechargeable Charger Stove Watch,572.00,4460110410117,,98
Fan,123.00,1746672958100,,6
Silent Heater Stove Scanner,107.00,0672739162726,,17
Heater Thermostat,402.00,6213817515382,,62
Portable Lamp Smart X,441.00,1065041621392,,23
Eco Treadmill,735.00,1030925905240,,60
Smart Charger Mini Max Rechargeable,881.00,2404832225255,,60
Digital Radio Mixer Smart X Wireless,238.00,9992339399423,,14
Advanced Heater Silent,138.00,6330833948342,,10
Premium Light Webcam Cooker X,478.00,5601803925030,,89
Premium Projector Brush,35.00,8672243070076,,96
Smart Grill Trimmer Fast Compact Smart,778.00,8611078603714,,31
Pro Radio Radio,510.00,1588671131418,,9
Smart Thermostat Microphone Scooter,919.00,1083723105282,,82
Advanced Clock Router Fridge Clean Clean,14.00,9831725947704,,31
Pro Bicycle Lock Fan Automatic Touch Lite,243.00,6331988052472,,19
